model,nodulemnist,organmnist,cc-ccii,luna25,btcv,word,flare22,chaos,lits17,kits23,msd_task7_pancreas
swinunetr,0.83,0.99,0.90,0.81,0.74,0.85,0.90,0.96,0.82,0.74,0.72
universal_model,0.78,0.96,0.77,0.72,0.81,0.83,0.91,0.97,0.81,0.74,0.67
suprem,0.71,0.98,0.83,0.74,0.81,0.85,0.91,0.97,0.81,0.80,0.72
voco_b,0.74,0.96,0.71,0.72,0.83,0.86,0.92,0.97,0.81,0.78,0.71
voco_h,0.76,0.92,0.83,0.70,0.83,0.85,0.92,0.97,0.82,0.82,0.72
